	ancestors	id	node_level
60	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000463']}	WBPhenotype:0000463	5
61	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519', 'WBPhenotype:0000520'], 2: ['WBPhenotype:0000536', 'WBPhenotype:0000533'], 3: ['WBPhenotype:0000511', 'WBPhenotype:0002089'], 4: ['WBPhenotype:0010002'], 5: ['WBPhenotype:0001344'], 6: ['WBPhenotype:0000511']}	WBPhenotype:0000511	6
62	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000533'], 3: ['WBPhenotype:0002089'], 4: ['WBPhenotype:0010002'], 5: ['WBPhenotype:0001344']}	WBPhenotype:0001344	5
63	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000585'], 4: ['WBPhenotype:0000142'], 5: ['WBPhenotype:0001840']}	WBPhenotype:0001840	5
64	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000585'], 4: ['WBPhenotype:0000142']}	WBPhenotype:0000142	4
65	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519', 'WBPhenotype:0000517'], 2: ['WBPhenotype:0000576', 'WBPhenotype:0000525'], 3: ['WBPhenotype:0000577', 'WBPhenotype:0001049'], 4: ['WBPhenotype:0000738', 'WBPhenotype:0001040'], 5: ['WBPhenotype:0000523', 'WBPhenotype:0001434'], 6: ['WBPhenotype:0001040', 'WBPhenotype:0000481'], 7: ['WBPhenotype:0001434', 'WBPhenotype:0000663'], 8: ['WBPhenotype:0000481', 'WBPhenotype:0000249'], 9: ['WBPhenotype:0000663', 'WBPhenotype:0001453'], 10: ['WBPhenotype:0000249', 'WBPhenotype:0000992'], 11: ['WBPhenotype:0001453'], 12: ['WBPhenotype:0000992']}	WBPhenotype:0000992	12
66	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519', 'WBPhenotype:0000517'], 2: ['WBPhenotype:0000576', 'WBPhenotype:0000525'], 3: ['WBPhenotype:0000577', 'WBPhenotype:0001049'], 4: ['WBPhenotype:0000738', 'WBPhenotype:0001040'], 5: ['WBPhenotype:0000523', 'WBPhenotype:0001434'], 6: ['WBPhenotype:0001040', 'WBPhenotype:0000481'], 7: ['WBPhenotype:0001434', 'WBPhenotype:0000663'], 8: ['WBPhenotype:0000481', 'WBPhenotype:0000249'], 9: ['WBPhenotype:0000663', 'WBPhenotype:0001453'], 10: ['WBPhenotype:0000249'], 11: ['WBPhenotype:0001453']}	WBPhenotype:0001453	11
67	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000650'], 4: ['WBPhenotype:0001091'], 5: ['WBPhenotype:0001092'], 6: ['WBPhenotype:0000993']}	WBPhenotype:0000993	6
68	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000650'], 4: ['WBPhenotype:0001091'], 5: ['WBPhenotype:0001092']}	WBPhenotype:0001092	5
69	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519', 'WBPhenotype:0000517'], 2: ['WBPhenotype:0000576', 'WBPhenotype:0000525'], 3: ['WBPhenotype:0000577', 'WBPhenotype:0000315'], 4: ['WBPhenotype:0000738', 'WBPhenotype:0000514'], 5: ['WBPhenotype:0000315'], 6: ['WBPhenotype:0000514']}	WBPhenotype:0000514	6
70	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519', 'WBPhenotype:0000517'], 2: ['WBPhenotype:0000576', 'WBPhenotype:0000525'], 3: ['WBPhenotype:0000577', 'WBPhenotype:0000315'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0000315']}	WBPhenotype:0000315	5
71	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000478'], 4: ['WBPhenotype:0000998']}	WBPhenotype:0000998	4
72	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000478']}	WBPhenotype:0000478	3
73	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000729'], 4: ['WBPhenotype:0001172'], 5: ['WBPhenotype:0000730'], 6: ['WBPhenotype:0000885'], 7: ['WBPhenotype:0001846']}	WBPhenotype:0001846	7
74	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000729'], 4: ['WBPhenotype:0001172'], 5: ['WBPhenotype:0000730'], 6: ['WBPhenotype:0000885']}	WBPhenotype:0000885	6
75	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000725'], 6: ['WBPhenotype:0001845']}	WBPhenotype:0001845	6
76	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000725']}	WBPhenotype:0000725	5
77	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000530'], 3: ['WBPhenotype:0000623'], 4: ['WBPhenotype:0000945'], 5: ['WBPhenotype:0000515']}	WBPhenotype:0000515	5
78	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000530'], 3: ['WBPhenotype:0000623'], 4: ['WBPhenotype:0000945']}	WBPhenotype:0000945	4
79	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000478'], 4: ['WBPhenotype:0000999']}	WBPhenotype:0000999	4
80	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000725'], 6: ['WBPhenotype:0001844']}	WBPhenotype:0001844	6
81	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519', 'WBPhenotype:0000520'], 2: ['WBPhenotype:0000536', 'WBPhenotype:0000533'], 3: ['WBPhenotype:0000511', 'WBPhenotype:0002089'], 4: ['WBPhenotype:0000512', 'WBPhenotype:0010002'], 5: ['WBPhenotype:0001344'], 6: ['WBPhenotype:0000511'], 7: ['WBPhenotype:0000512']}	WBPhenotype:0000512	7
82	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000650'], 4: ['WBPhenotype:0000210'], 5: ['WBPhenotype:0000205'], 6: ['WBPhenotype:0000996']}	WBPhenotype:0000996	6
83	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000650'], 4: ['WBPhenotype:0000210'], 5: ['WBPhenotype:0000205']}	WBPhenotype:0000205	5
84	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000478'], 4: ['WBPhenotype:0000997']}	WBPhenotype:0000997	4
85	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0001843']}	WBPhenotype:0001843	5
86	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518']}	WBPhenotype:0000518	1
87	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0002029'], 5: ['WBPhenotype:0001849']}	WBPhenotype:0001849	5
88	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0002029']}	WBPhenotype:0002029	4
89	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519']}	WBPhenotype:0000519	1
90	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000530'], 3: ['WBPhenotype:0001848']}	WBPhenotype:0001848	3
91	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000530']}	WBPhenotype:0000530	2
92	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000530'], 3: ['WBPhenotype:0000623'], 4: ['WBPhenotype:0000945'], 5: ['WBPhenotype:0000515'], 6: ['WBPhenotype:0000976'], 7: ['WBPhenotype:0000516']}	WBPhenotype:0000516	7
